10:00:12: Start[1][A]
10:00:12: Start[2][A]
10:00:12: Start[3][A]
10:04:19: Start[4][A]
10:04:19: Start[5][A]
10:23:14: Chip: 426; Nr: 426; (10:23:13,8);
10:23:15: Chip: 204; Nr: 204; (10:23:14,5);
10:23:15: Chip: 20181711; Nr: 1711; (10:23:15,3);
10:23:16: Chip: 20160035; Nr: 35; (10:23:15,6);
10:23:16: Chip: 20160274; Nr: 274; (10:23:16,1);
10:23:18: Chip: 476; Nr: 476; (10:23:18,9);
10:23:19: Chip: 20160014; Nr: 14; (10:23:19,3);
10:23:20: Chip: 20181517; Nr: 1517; (10:23:20,3);
10:23:23: Chip: 526; Nr: 526; (10:23:22,8);
10:23:28: Chip: 20182812; Nr: 2812; (10:23:27,8);
10:23:31: Chip: 514; Nr: 514; (10:23:30,5);
10:23:32: Chip: 20180112; Nr: 112; (10:23:31,8);
10:23:34: Chip: 565; Nr: 565; (10:23:33,8);
10:23:40: Chip: 20182204; Nr: 2204; (10:23:40,3);
10:23:41: Chip: 20181104; Nr: 1104; (10:23:40,8);
10:23:41: Chip: 20160094; Nr: 94; (10:23:41,9);
10:23:42: Chip: 20181010; Nr: 1010; (10:23:42,3);
10:23:43: Chip: 20180174; Nr: 174; (10:23:43,3);
10:23:47: Chip: 20180015; Nr: 15; (10:23:47,3);
10:23:47: Chip: 20180983; Nr: 983; (10:23:47,3);
10:23:49: Chip: 20180137; Nr: 137; (10:23:48,5);
10:23:50: Chip: 20160477; Nr: 477; (10:23:49,5);
10:23:50: Chip: 20180137; Nr: 137; (10:23:49,8);
10:23:50: Chip: 475; Nr: 475; (10:23:50,1);
10:23:52: Chip: 20180074; Nr: 74; (10:23:51,5);
10:23:53: Chip: 20181009; Nr: 1009; (10:23:53,3);
10:23:56: Chip: 20181109; Nr: 1109; (10:23:56,3);
10:23:58: Chip: 156; Nr: 156; (10:23:58,9);
10:23:59: Chip: 20160432; Nr: 432; (10:23:58,6);
10:24:01: Chip: 427; Nr: 427; (10:24:01,3);
10:24:02: Chip: 20161103; Nr: 1103; (10:24:01,8);
10:24:03: Chip: 445; Nr: 445; (10:24:03,1);
10:24:06: Chip: 20160146; Nr: 146; (10:24:06,9);
10:24:09: Chip: 20180080; Nr: 80; (10:24:08,6);
10:24:09: Chip: 20184444; Nr: 4444; (10:24:09,1);
10:24:09: Chip: 105; Nr: 105; (10:24:09,1);
10:24:12: Chip: 410; Nr: 410; (10:24:11,6);
10:24:16: Chip: 20180106; Nr: 106; (10:24:16,3);
10:24:23: Chip: 20181014; Nr: 1014; (10:24:23,3);
10:24:25: Chip: 20160020; Nr: 20; (10:24:24,6);
10:24:25: Chip: 197; Nr: 197; (10:24:25,1);
10:24:28: Chip: 20160076; Nr: 76; (10:24:27,8);
10:24:30: Chip: 20180002; Nr: 2; (10:24:30,1);
10:24:30: Chip: 513; Nr: 513; (10:24:30,1);
10:24:31: Chip: 20160301; Nr: 301; (10:24:30,6);
10:24:32: Chip: 462; Nr: 462; (10:24:31,6);
10:24:32: Chip: 117; Nr: 117; (10:24:31,8);
10:24:33: Chip: 20160075; Nr: 75; (10:24:32,8);
10:24:33: Chip: 20160037; Nr: 37; (10:24:33,1);
10:24:33: Chip: 20160162; Nr: 162; (10:24:33,1);
10:24:34: Chip: 237; Nr: 237; (10:24:33,6);
10:24:34: Chip: 20160162; Nr: 162; (10:24:34,3);
10:24:34: Chip: 519; Nr: 519; (10:24:34,3);
10:24:35: Chip: 686; Nr: 686; (10:24:34,6);
10:24:35: Chip: 459; Nr: 459; (10:24:34,6);
10:24:37: Chip: 413; Nr: 413; (10:24:36,8);
10:24:38: Chip: 413; Nr: 413; (10:24:38,1);
10:24:38: Chip: 421; Nr: 421; (10:24:38,3);
10:24:38: Chip: 398; Nr: 398; (10:24:38,3);
10:24:39: Chip: 398; Nr: 398; (10:24:39,6);
10:24:41: Chip: 543; Nr: 543; (10:24:41,3);
10:24:41: Chip: 20181000; Nr: 1000; (10:24:41,3);
10:24:42: Chip: 466; Nr: 466; (10:24:41,6);
10:24:42: Chip: 20180600; Nr: 600; (10:24:41,6);
10:24:42: Chip: 351; Nr: 351; (10:24:42,1);
10:24:43: Chip: 302; Nr: 302; (10:24:43,1);
10:24:44: Chip: 302; Nr: 302; (10:24:44,3);
10:24:44: Chip: 448; Nr: 448; (10:24:44,3);
10:24:46: Chip: 366; Nr: 366; (10:24:46,1);
10:24:47: Chip: 20181981; Nr: 1981; (10:24:46,8);
10:24:47: Chip: 422; Nr: 422; (10:24:47,3);
10:24:48: Chip: 20180812; Nr: 812; (10:24:47,8);
10:24:50: Chip: 20181024; Nr: 1024; (10:24:49,8);
10:24:51: Chip: 20181024; Nr: 1024; (10:24:51,1);
10:24:52: Chip: 20160350; Nr: 350; (10:24:52,3);
10:24:53: Chip: 447; Nr: 447; (10:24:53,1);
10:24:54: Chip: 20181805; Nr: 1805; (10:24:53,6);
10:24:56: Chip: 443; Nr: 443; (10:24:55,6);
10:24:57: Chip: 341; Nr: 341; (10:24:56,8);
10:24:57: Chip: 20180023; Nr: 23; (10:24:57,3);
10:24:58: Chip: 568; Nr: 568; (10:24:57,6);
10:24:58: Chip: 20180213; Nr: 213; (10:24:57,6);
10:24:58: Chip: 682; Nr: 682; (10:24:57,6);
10:24:58: Chip: 425; Nr: 425; (10:24:58,3);
10:24:59: Chip: 20180213; Nr: 213; (10:24:58,8);
10:25:00: Chip: 20180024; Nr: 24; (10:24:59,6);
10:25:02: Chip: 20180693; Nr: 693; (10:25:01,6);
10:25:02: Chip: 20181102; Nr: 1102; (10:25:02,1);
10:25:03: Chip: 20185388; Nr: 5388; (10:25:02,6);
10:25:03: Chip: 379; Nr: 379; (10:25:03,3);
10:25:04: Chip: 61; Nr: 61; (10:25:04,1);
10:25:04: Chip: 20181171; Nr: 1171; (10:25:04,1);
10:25:06: Chip: 361; Nr: 361; (10:25:05,6);
10:25:07: Chip: 20160546; Nr: 546; (10:25:07,1);
10:25:08: Chip: 532; Nr: 532; (10:25:07,6);
10:25:09: Chip: 304; Nr: 304; (10:25:08,6);
10:25:09: Chip: 532; Nr: 532; (10:25:08,8);
10:25:09: Chip: 20160065; Nr: 65; (10:25:08,8);
10:25:10: Chip: 96; Nr: 96; (10:25:10,1);
10:25:11: Chip: 306; Nr: 306; (10:25:10,6);
10:25:11: Chip: 19; Nr: 19; (10:25:11,3);
10:25:11: Chip: 96; Nr: 96; (10:25:11,3);
10:25:12: Chip: 20180006; Nr: 6; (10:25:12,3);
10:25:13: Chip: 322; Nr: 322; (10:25:13,1);
10:25:14: Chip: 327; Nr: 327; (10:25:14,3);
10:25:20: Chip: 399; Nr: 399; (10:25:19,8);
10:25:25: Chip: 20181008; Nr: 1008; (10:25:24,6);
10:25:28: Chip: 20180081; Nr: 81; (10:25:28,1);
10:25:31: Chip: 262; Nr: 262; (10:25:31,1);
10:25:32: Chip: 558; Nr: 558; (10:25:31,6);
10:25:32: Chip: 557; Nr: 557; (10:25:31,6);
10:25:32: Chip: 326; Nr: 326; (10:25:32,3);
10:25:33: Chip: 170; Nr: 170; (10:25:33,1);
10:25:34: Chip: 545; Nr: 545; (10:25:34,3);
10:25:35: Chip: 148; Nr: 148; (10:25:35,3);
10:25:36: Chip: 346; Nr: 346; (10:25:36,3);
10:25:38: Chip: 380; Nr: 380; (10:25:37,8);
10:25:38: Chip: 20180042; Nr: 42; (10:25:38,3);
10:25:39: Chip: 20180084; Nr: 84; (10:25:38,6);
10:25:39: Chip: 20180042; Nr: 42; (10:25:39,6);
10:25:40: Chip: 20183103; Nr: 3103; (10:25:39,6);
10:25:40: Chip: 20180084; Nr: 84; (10:25:40,1);
10:25:42: Chip: 20180099; Nr: 99; (10:25:41,8);
10:25:44: Chip: 255; Nr: 255; (10:25:43,6);
10:25:44: Chip: 172; Nr: 172; (10:25:44,1);
10:25:45: Chip: 20182980; Nr: 2980; (10:25:45,1);
10:25:46: Chip: 20182711; Nr: 2711; (10:25:45,8);
10:25:46: Chip: 141; Nr: 141; (10:25:46,1);
10:25:46: Chip: 263; Nr: 263; (10:25:46,1);
10:25:46: Chip: 20182980; Nr: 2980; (10:25:46,3);
10:25:47: Chip: 450; Nr: 450; (10:25:46,6);
10:25:48: Chip: 450; Nr: 450; (10:25:47,8);
10:25:52: Chip: 20182606; Nr: 2606; (10:25:51,8);
10:25:54: Chip: 20181027; Nr: 1027; (10:25:54,3);
10:25:57: Chip: 528; Nr: 528; (10:25:56,8);
10:25:57: Chip: 297; Nr: 297; (10:25:57,3);
10:25:58: Chip: 20180131; Nr: 131; (10:25:57,6);
10:25:59: Chip: 20180089; Nr: 89; (10:25:58,8);
10:25:59: Chip: 176; Nr: 176; (10:25:59,1);
10:26:00: Chip: 20180120; Nr: 120; (10:25:59,8);
10:26:00: Chip: 20180001; Nr: 1; (10:26:00,3);
10:26:02: Chip: 20180904; Nr: 904; (10:26:01,8);
10:26:04: Chip: 20182007; Nr: 2007; (10:26:03,8);
10:26:07: Chip: 244; Nr: 244; (10:26:07,3);
10:26:08: Chip: 244; Nr: 244; (10:26:08,6);
10:26:09: Chip: 367; Nr: 367; (10:26:09,3);
10:26:10: Chip: 20160130; Nr: 130; (10:26:10,3);
10:26:12: Chip: 20180695; Nr: 695; (10:26:12,1);
10:26:13: Chip: 20180804; Nr: 804; (10:26:12,6);
10:26:14: Chip: 529; Nr: 529; (10:26:14,1);
10:26:16: Chip: 517; Nr: 517; (10:26:15,6);
10:26:16: Chip: 20160201; Nr: 201; (10:26:16,3);
10:26:21: Chip: 20184001; Nr: 4001; (10:26:20,8);
10:26:21: Chip: 184; Nr: 184; (10:26:21,3);
10:26:23: Chip: 369; Nr: 369; (10:26:22,6);
10:26:25: Chip: 20182105; Nr: 2105; (10:26:25,1);
10:26:25: Chip: 20186784; Nr: 6784; (10:26:25,3);
10:26:25: Chip: 20181412; Nr: 1412; (10:26:25,3);
10:26:26: Chip: 20181412; Nr: 1412; (10:26:26,6);
10:26:28: Chip: 20180005; Nr: 5; (10:26:27,6);
10:26:28: Chip: 20180811; Nr: 811; (10:26:27,6);
10:26:28: Chip: 559; Nr: 559; (10:26:28,3);
10:26:29: Chip: 20180093; Nr: 93; (10:26:28,8);
10:26:29: Chip: 559; Nr: 559; (10:26:29,6);
10:26:30: Chip: 20180093; Nr: 93; (10:26:30,1);
10:26:31: Chip: 20181071; Nr: 1071; (10:26:31,1);
10:26:34: Chip: 20182811; Nr: 2811; (10:26:33,8);
10:26:35: Chip: 288; Nr: 288; (10:26:35,1);
10:26:35: Chip: 20160020; Nr: 20; (10:26:35,3);
10:26:37: Chip: 20181576; Nr: 1576; (10:26:36,8);
10:26:38: Chip: 20181576; Nr: 1576; (10:26:38,1);
10:26:38: Chip: 481; Nr: 481; (10:26:38,3);
10:26:39: Chip: 240; Nr: 240; (10:26:38,8);
10:26:40: Chip: 252; Nr: 252; (10:26:39,6);
10:26:41: Chip: 390; Nr: 390; (10:26:40,8);
10:26:42: Chip: 36; Nr: 36; (10:26:41,6);
10:26:47: Chip: 219; Nr: 219; (10:26:46,8);
10:26:48: Chip: 387; Nr: 387; (10:26:47,6);
10:26:48: Chip: 20160246; Nr: 246; (10:26:48,1);
10:26:49: Chip: 438; Nr: 438; (10:26:48,8);
10:26:49: Chip: 296; Nr: 296; (10:26:49,3);
10:26:50: Chip: 373; Nr: 373; (10:26:49,6);
10:26:50: Chip: 20181127; Nr: 1127; (10:26:50,1);
10:26:51: Chip: 20181127; Nr: 1127; (10:26:51,3);
10:26:53: Chip: 406; Nr: 406; (10:26:53,1);
10:26:54: Chip: 308; Nr: 308; (10:26:53,6);
10:26:54: Chip: 575; Nr: 575; (10:26:54,1);
10:26:55: Chip: 308; Nr: 308; (10:26:54,8);
10:26:55: Chip: 20180711; Nr: 711; (10:26:55,3);
10:26:55: Chip: 575; Nr: 575; (10:26:55,3);
10:26:56: Chip: 389; Nr: 389; (10:26:55,8);
10:26:57: Chip: 530; Nr: 530; (10:26:57,1);
10:26:58: Chip: 20181070; Nr: 1070; (10:26:57,6);
10:26:59: Chip: 20160020; Nr: 20; (10:26:58,8);
10:26:59: Chip: 51; Nr: 51; (10:26:59,1);
10:26:59: Chip: 20160034; Nr: 34; (10:26:59,1);
10:27:00: Chip: 19; Nr: 19; (10:26:59,6);
10:27:00: Chip: 20160269; Nr: 269; (10:27:00,1);
